族語,方言別,縣,鄉鎮市,村里
布農語,郡群布農語,臺東縣,延平鄉,"['紅葉村', '桃源村', '永康村', '武陵村', '鸞山村']"
布農語,郡群布農語,臺東縣,海端鄉,"['海端村', '崁頂村', '加拿村', '霧鹿村', '利稻村', '廣原村']"
布農語,郡群布農語,高雄市,桃源區,"['寶山里', '建山里', '高中里', '桃源里', '勤和里', '復興里', '梅山里', '梅蘭里']"
布農語,郡群布農語,高雄市,那瑪夏區,"['達卡努瓦里', '瑪雅里', '南沙魯里']"
布農語,郡群布農語,高雄市,茂林區,"['茂林里', '萬山里', '多納里']"
布農語,郡群布農語,花蓮縣,卓溪鄉,['古風村']
卑南語,南王卑南語,臺東縣,臺東市,"['南王里', '寳桑里', '新園里', '富岡里', '中心里', '自強里', '馬蘭里', '永樂里', '豐樂里', '四維里', '豐谷里', '豐榮里', '豐年里', '豐里里', '南榮里', '富豐里', '建業里', '建和里', '知本里', '新生里', '卑南里']"
卑南語,知本卑南語,臺東縣,臺東市,"['知本里', '建業里', '新園里', '富岡里', '中心里', '自強里', '馬蘭里', '永樂里', '豐樂里', '四維里', '寶桑里', '豐谷里', '豐榮里', '豐年里', '豐里里', '南榮里', '富豐里', '建和里', '新生里', '南王里', '卑南里']"
卑南語,知本卑南語,臺東縣,卑南鄉,['溫泉村']
卑南語,初鹿卑南語,臺東縣,卑南鄉,"['初鹿村', '明峰村', '美農村', '賓朗村', '泰安村', '太平村', '利嘉村']"
卑南語,建和卑南語,臺東縣,臺東市,"['建和里', '建農里', '新園里', '富岡里', '中心里', '自強里', '馬蘭里', '永樂里', '豐樂里', '四維里', '寶桑里', '豐谷里', '豐榮里', '豐年里', '豐里里', '南榮里', '富豐里', '建業里', '知本里', '新生里', '南王里', '卑南里']"
魯凱語,東魯凱語,臺東縣,卑南鄉,['東興村']
魯凱語,東魯凱語,臺東縣,金峰鄉,"['嘉蘭村', '正興村', '歷坵村']"
魯凱語,霧臺魯凱語,屏東縣,霧臺鄉,"['霧臺村', '好茶村', '佳暮村', '大武村', '阿禮村', '吉露村']"
